drugbank_id	smiles	DRUG_GROUPS	applicability_domain	bitter_prob	sweet_prob
DB02462	CN(C)CCCOC1=CC(=O)SC2=CC=CC=C12	experimental	True	0.6722600219004448	0.03869823569656225
DB02463	NC(=[NH2+])C1=CC2=C(NC(=C2)C2=CC=CC=C2O)C=C1	experimental	True	0.5756117400507812	0.005288801491323382
DB02464	NCC1=CC=CC=C1	experimental	True	0.5520129467535151	0.2535398496420718
DB02465	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCC[P@](F)(=O)OC	experimental	True	0.7551169590643275	0.6771602266417671
DB02466	CC1(C)CCC(C)(C)C2=CC(=CC=C12)C(=O)\C=C\C1=CC=C(C=C1)C(O)=O	experimental	True	0.7266666666666667	0.8764239286272143
DB02467	C[S@](=O)CC[C@H](N)C(O)=O	experimental	True	0.24461305779300047	0.876773900034225
DB02469	[H][C@]1(C)O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N	experimental	True	0.1828204303183329	0.7995646645091296
DB02470	[H][C@@](O)(COP(O)(O)=O)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O	experimental	True	0.358924660067789	0.9921221652415703
DB02471	[H][C@]1(O)C2=NN=NN2[C@]([H])(CO)[C@@]([H])(O)[C@]1([H])O	experimental	True	0.38041747077783056	0.11661615509948688
DB02472	[H][C@]1(CO)O[C@@]([H])(N2CNC3=C2N=CN=C3O)[C@]([H])(O)[C@]1([H])O	experimental	True	0.5416074441687345	0.28542815359682233
DB02473	CC(C)C1=NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2	experimental	True	0.785	0.030003259038485504
DB02474	[H][C@]1(CO)O[C@@]([H])(N=C(O)CCCCCN=C(O)OC)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O	experimental	True	0.5103460824425894	0.6346579051807456
DB02475	[H][C@@](CCCNC(N)=N)(N1CCC1=O)C(O)=O	experimental	True	0.3624309892071292	0.06388698514202094
DB02477	[H][C@@](CO)(N=C(O)CC1=CC=C(CCCCN2C=CN=C2C)C=C1)C(O)=N[C@@]([H])(CCCCN)C(O)=NCCC1CCCCC1	experimental	True	0.7866666666666666	0.012532991812861468
DB02479	[H]N([H])S(=O)(=O)C1=CC=C(C=C1)C(=O)N([H])C[C@@H](C)CN1C=CC2=CC=CC=C12	experimental	True	0.7016666666666667	0.0010599044250062342
DB02480	C[C@@](O)(CBr)CCOP(O)(=O)OP(O)(O)=O	experimental	True	0.49724587590916086	0.00012175813010231554
DB02481	O=CNCC1=CC=CC=C1	experimental	True	0.4345725221703495	0.5475245539424559
DB02482	C[C@H](OP(O)(O)=O)[C@@H](N)C(O)=O	experimental	True	0.2979547698650922	0.9138294445303867
DB02483	[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C2N=CN2C=CN=C32)[C@]([H])(O)[C@]1([H])O	experimental	True	0.7233333333333334	2.8725126761043275e-09
DB02484	[H][C@](O)(CO)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=CC(=N)N=C2O)[C@]([H])(O)[C@]1([H])O	experimental	True	0.6772222222222222	2.9560255837650883e-07
DB02485	[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)C(O)=O)[C@H](O)[C@H](O)CO	experimental	True	0.705	0.4144622503708991
DB02486	OCCSSCCO	experimental	True	0.3706537574170445	0.9176783438623649
