flavordb_id	smiles	applicability_domain	bitter_prob	sweet_prob
101906978	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)C3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O	True	0.6816666666666666	0.014739575343897337
152304	C(C(C(C(C(C(=O)O)O)O)O)O)O	True	0.09651049130738762	0.9051577682090948
53393646	C1C(C(C(C(O1)(CO)O)OC2C(C(C(C(O2)CO)O)O)O)O)O	True	0.09766734653168557	0.9580828607925735
101451271	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC(C(C(=O)O)O)OCC(=O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)O)C	True	0.13	0.987179073645217
134081	CCCCCOC1(C(C(C(CO1)O)O)O)CO	True	0.36087644255121404	0.7893734939475693
10786234	CC(C(C)OC1C(C(C(C(O1)COC2C(C(CO2)(CO)O)O)O)O)O)O	True	0.33677920489296637	0.6204533464269113
70822972	C(C1C(C(C(C(O1)OC(CC(CO)O)C(CO)O)O)O)O)O	True	0.11837140184442019	0.8604501104727261
19365653	C1CNC(=O)C(=O)N1.C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N	True	0.37833333333333335	0.8337926424972321
22027571	C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)N	True	0.2193922738128243	0.8527735079646008
194237	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)F)CO)O)O)O)O	True	0.10321115300252358	0.9784745500203793
68152679	C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O	True	0.01625514777423049	0.9508296520993448
24744895	C(COCCOCCOCCOC1C(C(C(C(O1)CO)O)O)O)O	True	0.4487612126725001	0.33474817083957925
439746	CC1C(C(C(C(O1)O)O)O)O	True	0.02650008538549199	0.8467599862619665
